id,artist,country,h,w,t,price
1476817-VDZYSJWJ-6.jpg,Trisha Lambi,Australia,35.4 W , 35.4 H , 1.6 in,"2,510"
1759476-ZUCHHDVK-6.jpg,Grażyna Smalej,Poland,31.5 W , 47.2 H , 0.8 in,"2,750"
902961-6.jpg,Detlef Gotzens,Canada,60 W , 75 H , 2 in,"14,750"
4190287-XFYWLPGW-6.jpg,János Huszti,Hungary,38 W , 48 H , 1.2 in,"1,390"
4149723-MOQFGXJI-6.jpg,Anton Rakun,Earth,27.6 W , 31.5 H , 1.2 in,"1,340"
4022529-ZIAEOWDS-6.jpg,Beata Belanszky-Demko,Hungary,47.2 W , 29.5 H , 0.8 in,"3,590"
2779834-POPJMMJO-6.jpg,Claudia Grutke,New Zealand,39.4 W , 39.4 H , 1.6 in,"2,250"
3276597-ZZVRUSGY-6.jpg,Beata Belanszky-Demko,Hungary,35.4 W , 35.4 H , 0.8 in,"2,990"
3863731-AKORETKL-6.jpg,Magdalena Krzak,United States,24 W , 24 H , 0.5 in,"2,670"
3698273-ELLCLWMM-6.jpg,Eric Stefanski,United States,45 W , 68 H , 3 in,"3,270"
910677-CCZHVVKH-6.jpg,Fiona Maclean,Australia,16 W , 23 H , 0.1 in,500
801990-6.jpg,Galen Cheney,United States,48 W , 48 H , 2 in,"5,070"
4235117-OBVKZBLA-6.jpg,Qais Al-Sindy,United States,40 W , 50 H , 2 in,"4,999"
3048591-YIPVMWXH-6.jpg,Marsha Boston,United States,22 W , 30 H , 0.2 in,"1,050"
2830402-CEGGDDZD-6.jpg,Mary Ann Wakeley,United States,19 W , 24 H , 0.1 in,495
2817910-UBQFLYTG-6.jpg,Larry Graeber,United States,77 W , 46 H , 1.5 in,"8,500"
2576327-YTLEVRPY-6.jpg,Elizabeth Elkin,Canada,30 W , 36 H , 0.8 in,"2,810"
2135129-CIIWAZXC-6.jpg,Joseba Eskubi,Spain,18.1 W , 21.7 H , 2 in,"1,773"
3993811-CDBVWCYU-6.jpg,Tomoya N,Japan,19.6 W , 25.6 H , 1 in,"3,480"
1546598-ENODCQUL-6.jpg,Christa Hartmann,Germany,47.2 W , 39.4 H , 0.8 in,"3,150"
1258442-OUBKSYEU-6.jpg,Karolina Zglobicka,United Kingdom,35.4 W , 47.2 H , 1.6 in,"1,110"
2729011-YDUEFKJC-6.jpg,János Huszti,Hungary,27.6 W , 27.6 H , 1.6 in,"1,420"
2646817-EBECIOJQ-6.jpg,Newel Hunter,United States,24 W , 30 H , 1.5 in,"2,770"
2577732-EBWZWBIK-6.jpg,Marsha Boston,United States,22 W , 30 H , 0.2 in,"1,050"
2563669-JXNSZZAK-6.jpg,Christian Bahr,Germany,47.2 W , 59.1 H , 1.8 in,"5,100"
2361221-LZQMTJYP-6.jpg,Oleksandr Balbyshev,Ukraine,17.7 W , 23.6 H , 0.8 in,550
2260751-EPNBIYII-6.jpg,Karin Goeppert,Germany,15.7 W , 15.7 H , 0.6 in,449
2042183-OZQLJDQB-6.jpg,Pol Ledent,Belgium,15.7 W , 19.7 H , 0.8 in,660
1980025-UQVUIWDD-6.jpg,artist Chu Van,Vietnam,35.4 W , 35.4 H , 1.2 in,"3,510"
1938733-TKUSIYCT-6.jpg,Irena Belcovski,Canada,16 W , 20 H , 0.7 in,445
1819862-GTUAOQAF-6.jpg,Victor Tkachenko,Canada,20 W , 16 H , 1 in,630
3305735-QTAYYTJU-6.jpg,Patrick Delaunay,France,39.4 W , 31.9 H , 0.8 in,"3,610"
3191370-IJYCAVEK-6.jpg,Therese O'Keeffe,Ireland,39.4 W , 31.5 H , 1.6 in,"1,190"
1519265-HQZKCHWX-6.jpg,Stéphanie de Malherbe,France,35 W , 45.7 H , 0.8 in,"3,610"
1034783-6.jpg,Fred Smilde,United States,24 W , 30 H , 0.8 in,"1,080"
945591-PADFSYFZ-6.jpg,Tomasz Cichowski,Earth,39.4 W , 39.4 H , 0.8 in,"2,290"
4374873-QTOZMCLB-6.jpg,Olga Armand Ugon,Uruguay,39.4 W , 51.2 H , 0.4 in,"1,390"
4372381-LYZRHIFS-6.jpg,Daniela Schweinsberg,Germany,61 W , 61 H , 0.8 in,"3,980"
4207869-HXCCEUOB-6.jpg,Gyula Szabó,Hungary,25.2 W , 20.9 H , 0.8 in,"1,000"
4042453-JPEUHOPJ-6.jpg,Christian Hetzel,Germany,39.4 W , 47.2 H , 0.8 in,"12,500"
4023225-OYFCUXAK-6.jpg,Shellie Garber,United States,24 W , 30 H , 1.5 in,830
268526-6.jpg,Dario Moschetta,Italy,31.9 W , 46.9 H , 0.8 in,839
4006019-UDIFNTBB-6.jpg,Ko byung jun,South Korea,6.2 W , 8.6 H , 0.9 in,245
3132455-SZGHXGFY-6.jpg,Peter de Boer,Netherlands,19.7 W , 15.7 H , 0.8 in,"1,310"
2860020-NSCOOLCJ-6.jpg,Marta Zamarska,Poland,3.5 W , 4.7 H , 0 in,285
2741760-ZQXCZKOR-6.jpg,Ashley Cunningham,United States,24 W , 30 H , 1.8 in,"1,220"
2313007-YUPCCHNI-6.jpg,karen clark,United States,12 W , 18 H , 2 in,230
2110002-RAYMTIRS-6.jpg,Jon Cooper,Canada,22 W , 32 H , 1 in,305
1867995-SWRFICCH-6.jpg,Harry Moody,United States,56 W , 60 H , 1.5 in,"13,350"
3246883-FDAPNOST-6.jpg,Michelle Daisley Moffitt,United States,16 W , 20 H , 1.5 in,645
1741071-UTEETUTX-6.jpg,Marijah Bac Cam,France,39.4 W , 31.9 H , 0.8 in,"2,300"
4187481-GRYXKPSA-6.jpg,Lena Kramarić,Croatia,23.6 W , 31.5 H , 1.2 in,"1,640"
3913431-WKMDGZAR-6.jpg,Naomi Yuki,Japan,39.4 W , 28.3 H , 1 in,"2,830"
3109843-MFUMJIOJ-6.jpg,Felix Hemme,France,28.7 W , 36.2 H , 1.2 in,"1,490"
3112289-FSGHMHGB-6.jpg,Elizabeth Becker,United States,12 W , 9 H , 0.1 in,125
2875117-QOSMRFXF-6.jpg,Hyeran Lee,Canada,40 W , 30 H , 0.8 in,"2,710"
2834058-OVOVPSUI-6.jpg,Anna Orbaczewska,Poland,78.7 W , 66.9 H , 0.8 in,"6,250"
1906353-KHFBIEVL-6.jpg,Hego Goevert,Germany,39.4 W , 39.4 H , 0.6 in,990
1855390-PYUFYNST-6.jpg,Behzad Tabar,United States,75 W , 75 H , 0.3 in,"6,800"
1849529-RZBCGKFI-6.jpg,Carlson Hatton,United States,36 W , 48 H , 2 in,"5,070"
4103705-LHRIEFGB-6.jpg,Liz Barber,Earth,36 W , 36 H , 2 in,"3,800"
1507011-6.jpg,Scott Bergey,Canada,16 W , 20 H , 2 in,570
1504875-FWOFMTQD-6.jpg,Golriz Rezvani,Canada,36.2 W , 24 H , 0.4 in,"1,960"
1435107-6.jpg,Marc Jung,Germany,78.7 W , 59.1 H , 2 in,"5,850"
1348715-CHZFLDHN-6.jpg,Vera Komnig,Germany,27.6 W , 27.6 H , 0.8 in,"3,885"
4505085-ESIUBUJV-6.jpg,muriel napoli,France,74.8 W , 55.1 H , 1.6 in,"8,500"
3680669-HYDDFPGV-6.jpg,Anna Matykiewicz,Ireland,15 W , 20.1 H , 0.4 in,410
1173381-6.jpg,Jon Cooper,Canada,20 W , 26 H , 0.1 in,355
1064592-LOPRNZXZ-6.jpg,Julia Pinkham,United States,43 W , 30 H , 2.5 in,"3,270"
1030483-6.jpg,Alessandro Pagani,Italy,15.7 W , 19.7 H , 1.6 in,"1,640"
4189609-XDRIBWKZ-6.jpg,Liz Mares,United States,24 W , 18 H , 1.5 in,695
3790759-JDRHEBXL-6.jpg,Mandy Racine,Spain,23.6 W , 15.7 H , 0.6 in,610
3078467-HQCCRSGU-6.jpg,Daniil Alikov,Canada,30 W , 44 H , 1.5 in,"1,960"
2870909-PBYRIOAK-6.jpg,Ian McLean,Canada,52 W , 64 H , 1.5 in,"4,150"
2805987-EGJUNHLD-6.jpg,Tatiana Bugaenko,Earth,39.4 W , 31.5 H , 0.8 in,"6,900"
2575364-UNDYSICQ-6.jpg,Robert Gheyssens,France,47.2 W , 39.4 H , 1.2 in,"2,810"
2469245-NXJHDQSJ-6.jpg,Wilfrid Moizan,Earth,9.8 W , 22 H , 1 in,"1,035"
2014385-DZHMOCNG-6.jpg,Iva Troj,United Kingdom,13 W , 21.7 H , 0.4 in,"1,770"
4385705-ODKHRYWD-6.jpg,Vahe Yeremyan,United States,31.5 W , 32 H , 0.8 in,880
3415899-LCKJAMAM-6.jpg,Alyson Khan,United States,36 W , 48 H , 1.5 in,"2,970"
3326521-BPKGJJLH-6.jpg,Mykola Kuryliuk,Ukraine,19.6 W , 27.5 H , 0.7 in,"1,190"
3259721-ZEMZRZBE-6.jpg,Adam Daley Wilson,United States,100 W , 50 H , 1.5 in,"18,750"
317696-CEJTDDLS-6.jpg,Dragomir Misina,United Kingdom,59.1 W , 43.3 H , 2 in,"4,350"
4511943-IROIZTPG-6.jpg,Heny Steinberg,Mexico,31 W , 39 H , 1.9 in,"2,090"
3691473-NFUSNLTA-6.jpg,Stephane Villafane,France,19.7 W , 19.7 H , 0.8 in,"1,440"
1066114-VCJGGRKM-6.jpg,Matchoro Guy,France,38.2 W , 51.2 H , 1 in,"5,000"
4219373-BGMJQQBB-6.jpg,Tatiana Iliina,Canada,30 W , 24 H , 1 in,520
3057954-ONQZBDCM-6.jpg,Chantal van Houten,Netherlands,16.5 W , 22.4 H , 0.2 in,"1,140"
2478902-NCSDBWTP-6.jpg,Alyson Khan,United States,17.5 W , 20.3 H , 0.5 in,545
2283823-NRPPRDZI-6.jpg,Taylor O Thomas,United States,36 W , 48 H , 2 in,"2,770"
2227889-GFRSJVNO-6.jpg,Pava Wülfert,Colombia,15.7 W , 19.7 H , 0.8 in,"1,990"
1844494-ZYYAKVOY-6.jpg,Gabriele Maurus,Canada,36 W , 36 H , 0.8 in,"3,010"
1541138-OSRFYHCW-6.jpg,artist Chu Van,Vietnam,72.1 W , 48 H , 1.2 in,"9,350"
4518955-IMLPNSFV-6.jpg,Jonas Fisch,United States,30 W , 66 H , 0.2 in,"3,900"
4323619-CSSTJTPX-6.jpg,Paul Bennett,United Kingdom,19.7 W , 19.7 H , 0.8 in,"1,320"
1176999-KHRXJXDE-6.jpg,Jim Harris,Japan,47.8 W , 28.8 H , 1 in,965
4204669-RJDXYULD-6.jpg,Eric Stefanski,United States,48 W , 62 H , 4 in,"3,870"
3748869-PKQTRTRQ-6.jpg,János Huszti,Hungary,15.7 W , 23.6 H , 1.6 in,"1,340"
3165832-ADCUYRCG-6.jpg,Yvonne Duval,United States,30 W , 36 H , 1.5 in,"2,870"
2700925-QBOBGSCE-6.jpg,Jérôme Rochette,Canada,47 W , 48 H , 1.5 in,"2,160"
2152882-JSYPXGVV-6.jpg,Christiane Lohrig,Germany,39 W , 39 H , 2 in,"1,690"
2001472-OGLPVWOL-6.jpg,SANTHOSH C H,India,22 W , 19 H , 0.3 in,930
1995627-REODBLQQ-6.jpg,Larry Graeber,United States,32 W , 40 H , 1.3 in,"2,970"
3213401-VSAVHVSQ-6.jpg,Toni Silber-Delerive,United States,36 W , 36 H , 0.8 in,"4,920"
1788467-JHMOAIFS-6.jpg,Ana Dévora,Spain,39.4 W , 39.4 H , 1.6 in,"2,750"
1376457-6.jpg,Elizabeth Elkin,Canada,18 W , 24 H , 1.5 in,"1,200"
4051427-XIFTIQAT-6.jpg,Christoph Schrein,Germany,39.4 W , 39.4 H , 0.2 in,"5,400"
1293716-6.jpg,Eustaquio Carrasco,Spain,11.8 W , 15 H , 0 in,395
1044927-ARUTABFX-6.jpg,Koen Lybaert,Belgium,11.8 W , 15.7 H , 0.1 in,495
1000265-EJTENNUR-6.jpg,Christian Hetzel,Germany,59.1 W , 70.9 H , 1.6 in,"22,000"
795987-HGKVRTRS-6.jpg,Alvarenga Marques,Portugal,59.1 W , 39.4 H , 1.2 in,"3,710"
4050237-YOUHVJYM-6.jpg,Koen Lybaert,Belgium,11.8 W , 15.7 H , 0.1 in,495
3774241-JKNXUQNE-6.jpg,Niki Hare,United Kingdom,12.2 W , 12.2 H , 0.6 in,"1,030"
3098722-DECOUEOK-6.jpg,unknown,Germany,19.7 W , 23.6 H , 0.8 in,"1,060"
3062945-JQLNSWMF-6.jpg,Matthieu van Riel,Netherlands,33.5 W , 15.7 H , 1 in,"1,540"
2760685-SAGQORIP-6.jpg,Mary Robertson,United States,16 W , 22 H , 0.1 in,407
2651371-SANVQBAA-6.jpg,Tim Fawcett,United Kingdom,29.9 W , 29.9 H , 1.2 in,995
2269790-GRIETNQN-6.jpg,Golriz Rezvani,Canada,17.7 W , 11.8 H , 0 in,605
2230784-EPLMMACV-6.jpg,Danie Wood,Canada,48 W , 48 H , 2 in,"2,310"
4415465-ZGNLORTF-6.jpg,Michelle Yap,Malaysia,27.5 W , 39 H , 1 in,"3,050"
1700318-OPVTJZJY-6.jpg,Paolo Terdich,Italy,19.7 W , 27.6 H , 0.8 in,"3,250"
1475223-JPGUZNIZ-6.jpg,Anna Matykiewicz,Ireland,19.7 W , 23.6 H , 0.4 in,420
1096625-NCTWHMTB-6.jpg,Jacob Jugashvili,Georgia,21.7 W , 21.7 H , 0.8 in,355
4306329-PQHBLXTL-6.jpg,unknown,China,15.7 W , 19.7 H , 0.8 in,"1,000"
3659809-ONIJQLSU-6.jpg,Ko byung jun,South Korea,6.2 W , 8.6 H , 0.9 in,245
1077179-6.jpg,Jessica Rimondi,Germany,49.2 W , 29.5 H , 1.2 in,"3,010"
814910-6.jpg,Casper Verborg,Netherlands,43.3 W , 59.1 H , 0.8 in,"4,010"
3105185-VBPIYILE-6.jpg,jean-humbert savoldelli,France,31.5 W , 31.5 H , 0.8 in,"1,960"
2131553-RJPLZOXU-6.jpg,Majid Eskandari,Canada,24 W , 30 H , 0.8 in,"2,910"
3384735-XCHPCNZY-6.jpg,Naoko Paluszak,United States,40 W , 40 H , 1.5 in,"3,200"
3241436-XQLLWIDA-6.jpg,János Huszti,Hungary,36 W , 48 H , 0.8 in,970
1181571-CSXNGZJB-6.jpg,Wilfrid Moizan,Earth,15.7 W , 15.7 H , 1.6 in,"1,340"
976716-YDMDXNCV-6.jpg,Naomi Yuki,Japan,39.4 W , 39.4 H , 0.8 in,"3,250"
931909-6.jpg,Detlef Gotzens,Canada,30 W , 30 H , 0.8 in,"1,700"
909615-RNMMBZCN-6.jpg,Andreas Richter,Germany,19.7 W , 15.7 H , 0.8 in,930
854898-XEXHAKJX-6.jpg,Larisa Ilieva,France,51.2 W , 33.5 H , 1.2 in,"2,610"
833053-6.jpg,Staci Cross,United States,60 W , 48 H , 1.5 in,"2,770"
821395-6.jpg,Aida Markiw,United States,24 W , 20 H , 0.5 in,"1,010"
749320-6.jpg,Elizabeth Nagle,United States,19 W , 25 H , 0 in,"1,080"
712928-MOWXWTYW-6.jpg,Eckhard Besuden,Germany,78.7 W , 55.1 H , 2 in,"8,700"
4340647-UKLGUSCW-6.jpg,Lewis Durrant,United Kingdom,29.9 W , 40.2 H , 1.6 in,"1,280"
4339221-QUKSTBDV-6.jpg,ZAAN CLAASSENS,Canada,82.7 W , 43.3 H , 2.4 in,"4,385"
4200049-SXZUBZNN-6.jpg,Matthieu van Riel,Netherlands,39.4 W , 31.5 H , 0.9 in,"3,450"
4191035-PEHEXQIE-6.jpg,DIANA ROIG,Argentina,23.6 W , 31.5 H , 0.4 in,"2,250"
4050217-SOZCBEJB-6.jpg,Yuliya Martynova,United Kingdom,23.6 W , 23.6 H , 0.8 in,630
261623-UFLHGDIN-6.jpg,Chantal Barlow,United States,24 W , 24 H , 0.5 in,"1,680"
3751151-RRXYGMPT-6.jpg,Lacey Kim,United States,24 W , 24 H , 2 in,"2,220"
3748807-JWNWVXKB-6.jpg,János Huszti,Hungary,47.2 W , 47.2 H , 1.2 in,"1,340"
243263-6.jpg,Jonathan David Lange,United States,18 W , 24 H , 0 in,305
3594893-DJDXDPNR-6.jpg,Mark Charlton,United Kingdom,23.6 W , 35.4 H , 0.8 in,"2,800"
3577599-RZZXJCYI-6.jpg,Tomoya N,Japan,10.6 W , 15.3 H , 0.1 in,923
3548891-AFLVPAZY-6.jpg,Nestor Toro,United States,22 W , 32 H , 0.7 in,780
3168972-RLUGADGU-6.jpg,Pure Evil,United Kingdom,39.4 W , 39.4 H , 2 in,"3,088"
3134762-XRXYCQBW-6.jpg,János Huszti,Hungary,19.7 W , 23.6 H , 1.6 in,740
3124355-DPIOJGNT-6.jpg,Konrad Biro,Earth,17.7 W , 23.8 H , 0 in,610
3102492-BOWVUDQK-6.jpg,unknown,Germany,19.7 W , 23.6 H , 0.8 in,780
3104296-LHTCLPTU-6.jpg,Z E D,United States,27.6 W , 27.6 H , 0.8 in,"3,350"
2965726-ELYEWZAL-6.jpg,LIM MIRYANG,South Korea,31.5 W , 31.5 H , 1.2 in,"1,390"
2898949-MVPVONWC-6.jpg,Chloe Hedden,United States,102 W , 72 H , 3 in,"12,750"
2888882-YQHWOWBM-6.jpg,Florina Breazu,Moldova,29.5 W , 45.1 H , 1 in,"1,640"
2842173-NQSSZTNO-6.jpg,Sylvia Baldeva,France,9.4 W , 12.6 H , 0 in,880
2832859-TPMGTZZE-6.jpg,Ezshwan Winding,Mexico,31.5 W , 39.5 H , 1.5 in,"1,990"
2812974-OKNCBWWJ-6.jpg,Isabelle Gautier,United States,80 W , 40 H , 0.1 in,"4,270"
2798112-BUBRUSDC-6.jpg,Majid Eskandari,Canada,36 W , 48 H , 0.1 in,"6,600"
2766803-XZMDTBYG-6.jpg,Lucie Jirku,Czech Republic,15.7 W , 17.7 H , 0.8 in,405
2750758-KULXHWRK-6.jpg,Isabelle Ferron Marchand,Canada,8 W , 10 H , 0.1 in,150
2721870-LUBHLMLA-6.jpg,Emiliano Baiocchi,Germany,39.4 W , 59.1 H , 0.8 in,"2,750"
2714019-NSLLVCZK-6.jpg,Viktor Kucheryavyy,Ukraine,23.6 W , 17.7 H , 0.8 in,495
2691709-KUHOKDNU-6.jpg,Emiliano Baiocchi,Germany,19.7 W , 27.6 H , 0.8 in,"1,530"
2639676-LCFFCILX-6.jpg,Valerie Erichsen Thomson,United States,26 W , 40 H , 0.1 in,860
2618285-LXNXJVGC-6.jpg,Nelly van Nieuwenhuijzen,Netherlands,31.5 W , 35.4 H , 0.8 in,"1,440"
2619870-LFDELTLU-6.jpg,Rie Kono,Japan,17.9 W , 20.7 H , 1.2 in,"4,410"
2606266-ZTLBIISI-6.jpg,Eustaquio Carrasco,Spain,11.8 W , 15 H , 0 in,395
2582472-KSSTOQQO-6.jpg,Peggy Lee,United States,36 W , 24 H , 1.5 in,"1,920"
2556347-ZWKLGGKC-6.jpg,Mikołaj Obrycki,Poland,47.2 W , 55.1 H , 0.8 in,"6,550"
2537772-PEFUJCRX-6.jpg,Agostino Veroni,Italy,12 W , 12 H , 1 in,710
2532721-NMTOYYGL-6.jpg,Gyula Szabó,Hungary,39.5 W , 54.5 H , 0.8 in,"1,340"
2486208-WVQBRUEY-6.jpg,Tanya Moro,Ukraine,51.2 W , 31.5 H , 0.8 in,"3,375"
2474614-OYJQZYWR-6.jpg,Tatiana Bugaenko,Earth,28 W , 22 H , 0.8 in,"3,700"
2463782-SXUGDCPY-6.jpg,Renee Zangara,United States,24 W , 28 H , 2 in,"1,920"
2344999-KUMWMXHS-6.jpg,Marijah Bac Cam,France,89.8 W , 39.4 H , 0 in,"5,350"
2329121-VBJJPGUN-6.jpg,unknown,China,15.7 W , 19.7 H , 1 in,"1,512"
2309910-OHXNDCIK-6.jpg,Samiran Sarkar,India,22 W , 14 H , 1 in,"1,440"
2303305-ZLRVNONC-6.jpg,Denise Marts,United States,60 W , 30 H , 1.5 in,"11,250"
2277567-RSXODUFU-6.jpg,Katrina Majkut,Earth,72 W , 62 H , 2.5 in,"3,770"
2232548-BCWHWPJA-6.jpg,Sylvia Baldeva,France,9.4 W , 12.6 H , 0 in,990
2221800-AWXFVEIO-6.jpg,Natalia Esanu,Moldova,23.6 W , 31.5 H , 0.8 in,530
2194128-AJURWDSP-6.jpg,Qais Al-Sindy,United States,60 W , 84 H , 2.5 in,"14,250"
2150766-GSFBPEJR-6.jpg,János Huszti,Hungary,15.7 W , 19.7 H , 0.8 in,510
